Var1,id,class,x1,y1,x2,y2
0,img_0.png,BudweiserLata,43,45,39,63
1,img_1.png,BudweiserLata,38,52,66,56
2,img_2.png,BudweiserLata,29,51,92,67
3,img_3.png,BudweiserLata,20,48,90,65
4,img_4.png,BudweiserLata,28,42,84,57
5,img_5.png,BudweiserLata,10,43,108,80
6,img_6.png,BudweiserLata,22,50,88,88
7,img_7.png,BudweiserLata,36,38,99,73
8,img_8.png,BudweiserLata,54,49,92,67
9,img_9.png,BudweiserLata,52,57,97,59
10,img_10.png,BudweiserLata,24,33,126.5,88
11,img_11.png,BudweiserLata,45,37,46,66
12,img_12.png,BudweiserLata,46,62,104.5,72
13,img_13.png,BudweiserLata,8,41,106,88
14,img_14.png,BudweiserLata,32,42,62,65
15,img_15.png,BudweiserLata,38,20,111,82
16,img_16.png,BudweiserLata,54,23,96.5,80
17,img_17.png,BudweiserLata,39,81,111.5,69.5
18,img_18.png,BudweiserLata,36,57,114.5,65
19,img_19.png,BudweiserLata,39,36,86,59
20,img_20.png,BudweiserLata,55,44,79,53
21,img_21.png,BudweiserLata,36,18,114,86
22,img_22.png,BudweiserLata,31,60,67,46
23,img_23.png,BudweiserLata,40,29,107,81
24,img_24.png,BudweiserLata,31,32,119.5,81
25,img_25.png,BudweiserLata,53,11,96,91
26,img_26.png,BudweiserLata,29,50,121.5,91
27,img_27.png,BudweiserLata,48,69,75,42
28,img_28.png,BudweiserLata,50,65,58,39
29,img_29.png,BudweiserLata,68,54,44,52
30,img_30.png,BudweiserLata,47,73,77,57
31,img_31.png,BudweiserLata,45,59,83,45
32,img_32.png,BudweiserLata,48,38,83,51
33,img_33.png,BudweiserLata,64,50,41,67
34,img_34.png,BudweiserLata,33,51,85,50
35,img_35.png,BudweiserLata,40,59,78,54
36,img_36.png,BudweiserLata,64,51,72,81
37,img_37.png,BudweiserLata,47,65,86,72
38,img_38.png,BudweiserLata,44,41,84,66
39,img_39.png,BudweiserLata,51,49,95,65
40,img_40.png,BudweiserLata,69,72,72,61
41,img_41.png,BudweiserLata,39,36,111.5,90
42,img_42.png,BudweiserLata,22,56,128.5,74
43,img_43.png,BudweiserLata,49,90,101.5,60.5
44,img_44.png,BudweiserLata,0.5,53,116.5,89
45,img_45.png,BudweiserLata,60,79,90.5,71
46,img_46.png,BudweiserLata,46,80,104.5,70.5
47,img_47.png,BudweiserLata,53,73,97.5,77.5
48,img_48.png,BudweiserLata,39,66,111.5,84.5
49,img_49.png,BudweiserLata,22,58,128.5,92.5
50,img_50.png,BudweiserLata,38,75,112.5,75.5
51,img_51.png,BudweiserLata,39,61,63,38
52,img_52.png,BudweiserLata,49,69,64,46
53,img_53.png,BudweiserLata,44,36,46,66
54,img_54.png,BudweiserLata,43,55,37,60
55,img_55.png,BudweiserLata,33,34,109,70
56,img_56.png,BudweiserLata,36,46,47,57
57,img_57.png,BudweiserLata,42,54,36,60
58,img_58.png,BudweiserLata,43,55,36,56
59,img_59.png,BudweiserLata,46,37,45,68
60,img_60.png,BudweiserLata,37,42,92,56
61,img_61.png,BudweiserLata,10,30,97,69
62,img_62.png,BudweiserLata,32,45,90,54
63,img_63.png,BudweiserLata,46.4857342274966,66.295395013711,61.4690977897405,40.5934273181372
64,img_64.png,BudweiserLata,46.4857342274966,66.295395013711,61.4690977897405,40.5934273181372
65,img_65.png,BudweiserLata,46.4857342274966,66.295395013711,61.4690977897405,40.5934273181372
66,img_66.png,BudweiserLata,46.9082632965349,42.5353306288724,64.576946045954,58.0495230805638
67,img_67.png,BudweiserLata,46.9082632965349,42.5353306288724,64.576946045954,58.0495230805638
68,img_68.png,BudweiserLata,46.9082632965349,42.5353306288724,64.576946045954,58.0495230805638
69,img_69.png,BudweiserLata,45.089414459498,34.8169187531501,73.7697334207949,85.4430239961902
70,img_70.png,BudweiserLata,45.089414459498,34.8169187531501,73.7697334207949,85.4430239961902
71,img_71.png,BudweiserLata,45.089414459498,34.8169187531501,73.7697334207949,85.4430239961902
72,img_72.png,BudweiserLata,38.5090251726689,28.626564065014,77.7547472478633,77.3181653514071
73,img_73.png,BudweiserLata,38.5090251726689,28.626564065014,77.7547472478633,77.3181653514071
74,img_74.png,BudweiserLata,38.5090251726689,28.626564065014,77.7547472478633,77.3181653514071
75,img_75.png,BudweiserLata,39.6500914359775,47.7570701480929,80.5987588748112,60.9111670853528
76,img_76.png,BudweiserLata,39.6500914359775,47.7570701480929,80.5987588748112,60.9111670853528
77,img_77.png,BudweiserLata,39.6500914359775,47.7570701480929,80.5987588748112,60.9111670853528
78,img_78.png,BudweiserLata,22.8279226852865,18.0895100165212,86.8717116635767,101.139256595137
79,img_79.png,BudweiserLata,22.8279226852865,18.0895100165212,86.8717116635767,101.139256595137
80,img_80.png,BudweiserLata,22.8279226852865,18.0895100165212,86.8717116635767,101.139256595137
81,img_81.png,BudweiserLata,27.251933366333,16.2041597875496,88.4064564432851,88.4064564432851
82,img_82.png,BudweiserLata,27.251933366333,16.2041597875496,88.4064564432851,88.4064564432851
83,img_83.png,BudweiserLata,27.251933366333,16.2041597875496,88.4064564432851,88.4064564432851
84,img_84.png,BudweiserLata,27.7885097121513,25.3968154799093,84.6251936218078,87.8259659327418
85,img_85.png,BudweiserLata,27.7885097121513,25.3968154799093,84.6251936218078,87.8259659327418
86,img_86.png,BudweiserLata,27.7885097121513,25.3968154799093,84.6251936218078,87.8259659327418
87,img_87.png,BudweiserLata,51.4853641162021,26.4697940270553,79.5495128834866,79.5495128834866
88,img_88.png,BudweiserLata,51.4853641162021,26.4697940270553,79.5495128834866,79.5495128834866
89,img_89.png,BudweiserLata,51.4853641162021,26.4697940270553,79.5495128834866,79.5495128834866
90,img_90.png,BudweiserLata,54.6155473146031,26.9022003850846,76.8949699373621,79.5599374351058
91,img_91.png,BudweiserLata,54.6155473146031,26.9022003850846,76.8949699373621,79.5599374351058
92,img_92.png,BudweiserLata,54.6155473146031,26.9022003850846,76.8949699373621,79.5599374351058
93,img_93.png,BudweiserLata,27.1344659706106,26.8590046845763,101.371919660917,113.927977079783
94,img_94.png,BudweiserLata,27.1344659706106,26.8590046845763,101.371919660917,113.927977079783
95,img_95.png,BudweiserLata,27.1344659706106,26.8590046845763,101.371919660917,113.927977079783
96,img_96.png,BudweiserLata,40.6811899313824,56.8034839367473,62.8149825644476,49.7601366336671
97,img_97.png,BudweiserLata,40.6811899313824,56.8034839367473,62.8149825644476,49.7601366336671
98,img_98.png,BudweiserLata,40.6811899313824,56.8034839367473,62.8149825644476,49.7601366336671
99,img_99.png,BudweiserLata,51.7538700663612,38.9644630520605,93.014451981966,84.2675213768232
100,img_100.png,BudweiserLata,51.7538700663612,38.9644630520605,93.014451981966,84.2675213768232
101,img_101.png,BudweiserLata,51.7538700663612,38.9644630520605,93.014451981966,84.2675213768232
102,img_102.png,BudweiserLata,13.5667211261577,26.8034186480034,98.2964900731381,95.7659409559135
103,img_103.png,BudweiserLata,13.5667211261577,26.8034186480034,98.2964900731381,95.7659409559135
104,img_104.png,BudweiserLata,13.5667211261577,26.8034186480034,98.2964900731381,95.7659409559135
105,img_105.png,BudweiserLata,52.9205735980546,40.3686613685336,62.8035205962723,64.4012204521981
106,img_106.png,BudweiserLata,52.9205735980546,40.3686613685336,62.8035205962723,64.4012204521981
107,img_107.png,BudweiserLata,52.9205735980546,40.3686613685336,62.8035205962723,64.4012204521981
108,img_108.png,BudweiserLata,42.1264373657154,27.4564672066194,99.0425433470828,94.4379592415385
109,img_109.png,BudweiserLata,42.1264373657154,27.4564672066194,99.0425433470828,94.4379592415385
110,img_110.png,BudweiserLata,42.1264373657154,27.4564672066194,99.0425433470828,94.4379592415385
111,img_111.png,BudweiserLata,11.0148182621915,23.6404094015544,88.435585167028,88.147441115367
112,img_112.png,BudweiserLata,11.0148182621915,23.6404094015544,88.435585167028,88.147441115367
113,img_113.png,BudweiserLata,11.0148182621915,23.6404094015544,88.435585167028,88.147441115367
114,img_114.png,BudweiserLata,-0.801039173201735,17.9885288015672,91.9657998928934,89.7558966680272
